crime_id,entity,entity_classification
691156db1504b132defc3e10,20ai,cultivation
691156db1504b132defc3e10,20,small
69119fadf96aa3b6f5954e58,8c,small
69119fadf96aa3b6f5954e58,27b,small
69119fadf96aa3b6f5954e58,27,small
6911aae21154578dd1858e8f,8c,small
6911aae21154578dd1858e8f,20biia,small
6911aae21154578dd1858e8f,20,small
6911aae21154578dd1858e8f,27,small
6911e03fb3e64423bdcf19a0,8c,small
6911e03fb3e64423bdcf19a0,20biia,small
6911e03fb3e64423bdcf19a0,20,small
6911ee5df96aa30cb8a453dd,8c,small
6911ee5df96aa30cb8a453dd,20biia,small
6911ee5df96aa30cb8a453dd,20,small
6911f6d01d66484038266efc,8c,small
6911f6d01d66484038266efc,20biia,small
6911f6d01d66484038266efc,20,small
6911f6d01d66484038266efc,27b,small
6911f6d01d66484038266efc,27,small
69120012b3e644941ad2bbd8,8c,small
69120012b3e644941ad2bbd8,20biia,small
69120012b3e644941ad2bbd8,20,small
6912349a507319d88142ca01,8c,small
6912349a507319d88142ca01,20biib,intermediate
6912349a507319d88142ca01,20,small
6912349a507319d88142ca01,27,small
6912349a507319d88142ca01,29,small
6912a63d1d664828262d4df3,27a,small
6912a63d1d664828262d4df3,27,small
6912acbed550256588764f2b,1401,small
6912acbed550256588764f2b,140,small
6912acbed550256588764f2b,1,small
6912acbed550256588764f2b,1272,small
6912acbed550256588764f2b,127,small
6912acbed550256588764f2b,2,small
6912acbed550256588764f2b,1152,small
6912acbed550256588764f2b,115,small
